factor,horizon,IC_mean,IC_std,ICIR,t_stat,n_days
Ret_5,fwd_1d,-0.016817976571914372,0.2125754330225489,-0.07911533488505423,-2.6227658300270984,1099
Ret_5,fwd_3d,-0.021585302277202838,0.19976561214194644,-0.10805314310986157,-3.5788271073501847,1097
Ret_5,fwd_5d,-0.014419300840772432,0.18395067184658082,-0.07838677997761524,-2.593880021590951,1095
Ret_5,fwd_10d,0.0014908727723130233,0.1870404976602656,0.007970855461585635,0.2631589730572446,1090
Ret_5,fwd_20d,-0.011130497086296235,0.18039763268901565,-0.06169979572561191,-2.027662194742708,1080
Ret_20,fwd_1d,-0.006883240856280739,0.21743396710460458,-0.03165669535417759,-1.0489788863940186,1098
Ret_20,fwd_3d,-0.0137393151468279,0.21426324479850803,-0.0641235278582114,-2.122866505501739,1096
Ret_20,fwd_5d,-0.011764151403292207,0.20063050728744336,-0.058635905188824076,-1.9394218980872022,1094
Ret_20,fwd_10d,-0.009887641856428613,0.19513624403364208,-0.05067045286945235,-1.6721249446919275,1089
Ret_20,fwd_20d,-0.00962436987216117,0.18585998759187392,-0.05178290387759588,-1.70097183856231,1079
BIAS_20,fwd_1d,-0.011003647236732127,0.21270744318955034,-0.051731369019025954,-1.7149553522177536,1099
BIAS_20,fwd_3d,-0.014644629690407591,0.20638707758741504,-0.07095710575292619,-2.3501696130161864,1097
BIAS_20,fwd_5d,-0.012762408016261937,0.19370173354557643,-0.06588690654778806,-2.1802494072028704,1095
BIAS_20,fwd_10d,-0.009809932704354075,0.1938051683102246,-0.05061749792271423,-1.6711441872537562,1090
BIAS_20,fwd_20d,-0.011723029510768633,0.18511066755992947,-0.06332984298148733,-2.08123101385325,1080
VPT_slope,fwd_1d,-0.008612762859366175,0.1681771285574534,-0.05121245042796557,-1.6969800106550579,1098
VPT_slope,fwd_3d,-0.012093504700232469,0.16181195689213787,-0.07473801647608694,-2.4742686056753636,1096
VPT_slope,fwd_5d,-0.009415942384711195,0.1496101435141279,-0.06293652397854985,-2.081667749485931,1094
VPT_slope,fwd_10d,-0.00384705831603171,0.149209352437354,-0.02578295698754479,-0.8508375805889782,1089
VPT_slope,fwd_20d,-0.012695271891500173,0.14700923684225894,-0.08635696752253882,-2.8366653628907734,1079
HV_ratio,fwd_1d,0.004101684568516288,0.14199853573097013,0.028885400454321048,0.9571490284320028,1098
HV_ratio,fwd_3d,0.006423517970989809,0.13234326550049005,0.04853679517954786,1.6068538368458762,1096
HV_ratio,fwd_5d,0.007779848480634904,0.1327011778166593,0.058626823127249005,1.9391215028082045,1094
HV_ratio,fwd_10d,0.003402436287731259,0.12952423274804598,0.02626872374028858,0.8668678834295233,1089
HV_ratio,fwd_20d,0.009709558806340534,0.12390949660720083,0.07836008596758577,2.573982714705439,1079
LR_Slope,fwd_1d,-0.004907461495459123,0.2079593456707929,-0.02359817722848489,-0.7823071592342576,1099
LR_Slope,fwd_3d,-0.00917997784344882,0.20674844333607845,-0.0444016781714113,-1.4706275530561872,1097
LR_Slope,fwd_5d,-0.010613011897586106,0.19665087742162102,-0.05396880012303086,-1.7858699192432865,1095
LR_Slope,fwd_10d,-0.016530139012327902,0.19128126981857344,-0.08641796987235821,-2.853102068517212,1090
LR_Slope,fwd_20d,-0.010032993312143907,0.1806823761105213,-0.05552834497818892,-1.824847627528967,1080
BB_pct,fwd_1d,-0.006020435574463945,0.19356536453517456,-0.031102855559522975,-1.0310960181904727,1099
BB_pct,fwd_3d,-0.00999904130747395,0.1892495906084181,-0.052835207068760645,-1.749954382057058,1097
BB_pct,fwd_5d,-0.007871952300708798,0.17764016978763833,-0.0443140327445048,-1.466386095269163,1095
BB_pct,fwd_10d,-0.005735224295633994,0.17754503676685815,-0.03230292662680939,-1.0664859046589241,1090
BB_pct,fwd_20d,-0.012522144577974145,0.1700541984310624,-0.07363619771522693,-2.41993239225241,1080
Vol_Shock,fwd_1d,-0.00506961496876383,0.1574328468032985,-0.032201761396705,-1.0675260312134323,1099
Vol_Shock,fwd_3d,-0.008877963623157025,0.14952711651501802,-0.05937360279575345,-1.9665125236610745,1097
Vol_Shock,fwd_5d,-0.01090048220365929,0.1392000790676361,-0.07830801732779794,-2.591273703741602,1095
Vol_Shock,fwd_10d,-0.0006788609402251986,0.14220601150735016,-0.004773785109570494,-0.15760722209616254,1090
Vol_Shock,fwd_20d,-0.004604569410172233,0.14043522651014226,-0.032787851912922224,-1.0775187662907846,1080
MFI_14,fwd_1d,-0.002483548079857657,0.17102499340709798,-0.01452155050780188,-0.48140637369747663,1099
MFI_14,fwd_3d,-0.005459816124144984,0.168896547124679,-0.032326392795434485,-1.0706821429666682,1097
MFI_14,fwd_5d,-0.006061857620293164,0.15999589843998724,-0.03788758136551171,-1.2537297794151878,1095
MFI_14,fwd_10d,-0.0077521103603759725,0.15929245491684677,-0.04866589798256735,-1.6067118263179994,1090
MFI_14,fwd_20d,0.0026284523767655427,0.14731990423853691,0.01784180074207498,0.5863414039768127,1080
RS_Beta,fwd_1d,0.0009800176572378068,0.1955977364453902,0.005010373202920078,0.16297196793076685,1058
RS_Beta,fwd_3d,-0.0025882848717198796,0.198192094079974,-0.013059475877354931,-0.42438273428819345,1056
RS_Beta,fwd_5d,0.00033338807071895505,0.1879893086039722,0.0017734416557767508,0.057575432720841695,1054
RS_Beta,fwd_10d,-0.0017417449433260396,0.1821726493404159,-0.009560957419416663,-0.3096628654002891,1049
RS_Beta,fwd_20d,-0.004933425542178346,0.17143310772878548,-0.028777554158227338,-0.9276019516147895,1039
